=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: skylake_c220g5) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [276/1638] t=16 m=400 w=100 | elapsed=8281s eta=41013s
  [277/1638] t=16 m=500 w=100 | elapsed=8311s eta=40982s
  [278/1638] t=16 m=700 w=100 | elapsed=8341s eta=40952s
  [279/1638] t=16 m=1000 w=100 | elapsed=8372s eta=40926s
  [280/1638] t=16 m=2000 w=100 | elapsed=8402s eta=40895s
  [281/1638] t=16 m=3000 w=100 | elapsed=8432s eta=40865s
  [282/1638] t=16 m=5000 w=100 | elapsed=8462s eta=40834s
  [283/1638] t=16 m=7000 w=100 | elapsed=8492s eta=40803s
  [284/1638] t=16 m=10000 w=100 | elapsed=8522s eta=40773s
  [285/1638] t=16 m=20000 w=100 | elapsed=8552s eta=40742s
  [286/1638] t=16 m=50000 w=100 | elapsed=8582s eta=40711s
  [287/1638] t=32 m=0 w=100 | elapsed=8612s eta=40681s
  [288/1638] t=32 m=10 w=100 | elapsed=8643s eta=40655s
  [289/1638] t=32 m=20 w=100 | elapsed=8673s eta=40624s
  [290/1638] t=32 m=30 w=100 | elapsed=8703s eta=40593s
  [291/1638] t=32 m=40 w=100 | elapsed=8733s eta=40563s
  [292/1638] t=32 m=50 w=100 | elapsed=8763s eta=40532s
  [293/1638] t=32 m=60 w=100 | elapsed=8793s eta=40502s
  [294/1638] t=32 m=70 w=100 | elapsed=8823s eta=40471s
  [295/1638] t=32 m=80 w=100 | elapsed=8853s eta=40440s
  [296/1638] t=32 m=90 w=100 | elapsed=8883s eta=40410s
  [297/1638] t=32 m=100 w=100 | elapsed=8914s eta=40384s
  [298/1638] t=32 m=150 w=100 | elapsed=8944s eta=40353s
  [299/1638] t=32 m=200 w=100 | elapsed=8974s eta=40322s
