=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: ivy_c8220) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [188/1638] t=16 m=50 w=0 | elapsed=5660s eta=43654s
  [189/1638] t=16 m=60 w=0 | elapsed=5690s eta=43623s
  [190/1638] t=16 m=70 w=0 | elapsed=5721s eta=43600s
  [191/1638] t=16 m=80 w=0 | elapsed=5751s eta=43569s
  [192/1638] t=16 m=90 w=0 | elapsed=5781s eta=43538s
  [193/1638] t=16 m=100 w=0 | elapsed=5811s eta=43507s
  [194/1638] t=16 m=150 w=0 | elapsed=5841s eta=43476s
  [195/1638] t=16 m=200 w=0 | elapsed=5871s eta=43445s
  [196/1638] t=16 m=250 w=0 | elapsed=5901s eta=43414s
  [197/1638] t=16 m=300 w=0 | elapsed=5931s eta=43383s
  [198/1638] t=16 m=400 w=0 | elapsed=5961s eta=43352s
  [199/1638] t=16 m=500 w=0 | elapsed=5992s eta=43329s
  [200/1638] t=16 m=700 w=0 | elapsed=6022s eta=43298s
  [201/1638] t=16 m=1000 w=0 | elapsed=6052s eta=43267s
  [202/1638] t=16 m=2000 w=0 | elapsed=6082s eta=43236s
  [203/1638] t=16 m=3000 w=0 | elapsed=6112s eta=43205s
  [204/1638] t=16 m=5000 w=0 | elapsed=6142s eta=43174s
  [205/1638] t=16 m=7000 w=0 | elapsed=6172s eta=43143s
  [206/1638] t=16 m=10000 w=0 | elapsed=6202s eta=43112s
  [207/1638] t=16 m=20000 w=0 | elapsed=6232s eta=43082s
  [208/1638] t=16 m=50000 w=0 | elapsed=6263s eta=43058s
  [209/1638] t=32 m=0 w=0 | elapsed=6293s eta=43027s
  [210/1638] t=32 m=10 w=0 | elapsed=6323s eta=42996s
