=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Following CPUs are offline:
8-15
cpupower set operation was not performed on them
  governor: performance
  WARNING: could not disable turbo/boost

=== Experiment (Server: skylake_ann) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [250/1638] t=8 m=400 w=100 | elapsed=7529s eta=41801s
  [251/1638] t=8 m=500 w=100 | elapsed=7559s eta=41770s
  [252/1638] t=8 m=700 w=100 | elapsed=7589s eta=41739s
  [253/1638] t=8 m=1000 w=100 | elapsed=7619s eta=41708s
  [254/1638] t=8 m=2000 w=100 | elapsed=7649s eta=41678s
  [255/1638] t=8 m=3000 w=100 | elapsed=7679s eta=41647s
  [256/1638] t=8 m=5000 w=100 | elapsed=7709s eta=41616s
  [257/1638] t=8 m=7000 w=100 | elapsed=7739s eta=41585s
  [258/1638] t=8 m=10000 w=100 | elapsed=7770s eta=41560s
  [259/1638] t=8 m=20000 w=100 | elapsed=7800s eta=41529s
  [260/1638] t=8 m=50000 w=100 | elapsed=7830s eta=41499s
  [261/1638] t=16 m=0 w=100 | elapsed=7860s eta=41468s
  [262/1638] t=16 m=10 w=100 | elapsed=7890s eta=41437s
  [263/1638] t=16 m=20 w=100 | elapsed=7920s eta=41406s
  [264/1638] t=16 m=30 w=100 | elapsed=7950s eta=41376s
  [265/1638] t=16 m=40 w=100 | elapsed=7980s eta=41345s
  [266/1638] t=16 m=50 w=100 | elapsed=8010s eta=41314s
  [267/1638] t=16 m=60 w=100 | elapsed=8041s eta=41289s
  [268/1638] t=16 m=70 w=100 | elapsed=8071s eta=41258s
  [269/1638] t=16 m=80 w=100 | elapsed=8101s eta=41227s
  [270/1638] t=16 m=90 w=100 | elapsed=8131s eta=41197s
  [271/1638] t=16 m=100 w=100 | elapsed=8161s eta=41166s
  [272/1638] t=16 m=150 w=100 | elapsed=8191s eta=41135s
  [273/1638] t=16 m=200 w=100 | elapsed=8221s eta=41105s
  [274/1638] t=16 m=250 w=100 | elapsed=8251s eta=41074s
  [275/1638] t=16 m=300 w=100 | elapsed=8281s eta=41043s
  [276/1638] t=16 m=400 w=100 | elapsed=8312s eta=41017s
  [277/1638] t=16 m=500 w=100 | elapsed=8342s eta=40987s
  [278/1638] t=16 m=700 w=100 | elapsed=8372s eta=40956s
  [279/1638] t=16 m=1000 w=100 | elapsed=8402s eta=40925s
  [280/1638] t=16 m=2000 w=100 | elapsed=8432s eta=40895s
  [281/1638] t=16 m=3000 w=100 | elapsed=8462s eta=40864s
  [282/1638] t=16 m=5000 w=100 | elapsed=8492s eta=40833s
  [283/1638] t=16 m=7000 w=100 | elapsed=8522s eta=40803s
  [284/1638] t=16 m=10000 w=100 | elapsed=8552s eta=40772s
  [285/1638] t=16 m=20000 w=100 | elapsed=8583s eta=40746s
  [286/1638] t=16 m=50000 w=100 | elapsed=8613s eta=40716s
  [287/1638] t=32 m=0 w=100 | elapsed=8643s eta=40685s
  [288/1638] t=32 m=10 w=100 | elapsed=8673s eta=40654s
  [289/1638] t=32 m=20 w=100 | elapsed=8703s eta=40624s
  [290/1638] t=32 m=30 w=100 | elapsed=8733s eta=40593s
  [291/1638] t=32 m=40 w=100 | elapsed=8763s eta=40562s
  [292/1638] t=32 m=50 w=100 | elapsed=8793s eta=40532s
  [293/1638] t=32 m=60 w=100 | elapsed=8824s eta=40506s
  [294/1638] t=32 m=70 w=100 | elapsed=8854s eta=40475s
  [295/1638] t=32 m=80 w=100 | elapsed=8884s eta=40444s
  [296/1638] t=32 m=90 w=100 | elapsed=8914s eta=40414s
  [297/1638] t=32 m=100 w=100 | elapsed=8944s eta=40383s
  [298/1638] t=32 m=150 w=100 | elapsed=8974s eta=40352s
  [299/1638] t=32 m=200 w=100 | elapsed=9004s eta=40322s
  [300/1638] t=32 m=250 w=100 | elapsed=9034s eta=40291s
  [301/1638] t=32 m=300 w=100 | elapsed=9064s eta=40261s
  [302/1638] t=32 m=400 w=100 | elapsed=9095s eta=40234s
  [303/1638] t=32 m=500 w=100 | elapsed=9125s eta=40204s
  [304/1638] t=32 m=700 w=100 | elapsed=9155s eta=40173s
  [305/1638] t=32 m=1000 w=100 | elapsed=9185s eta=40142s
  [306/1638] t=32 m=2000 w=100 | elapsed=9215s eta=40112s
  [307/1638] t=32 m=3000 w=100 | elapsed=9245s eta=40081s
  [308/1638] t=32 m=5000 w=100 | elapsed=9275s eta=40051s
  [309/1638] t=32 m=7000 w=100 | elapsed=9305s eta=40020s
  [310/1638] t=32 m=10000 w=100 | elapsed=9335s eta=39989s
  [311/1638] t=32 m=20000 w=100 | elapsed=9366s eta=39963s
  [312/1638] t=32 m=50000 w=100 | elapsed=9396s eta=39933s
--- w=100ns, rep=2/3 ---
  [313/1638] t=8 m=0 w=100 | elapsed=9426s eta=39902s
  [314/1638] t=8 m=10 w=100 | elapsed=9456s eta=39871s
  [315/1638] t=8 m=20 w=100 | elapsed=9486s eta=39841s
  [316/1638] t=8 m=30 w=100 | elapsed=9516s eta=39810s
  [317/1638] t=8 m=40 w=100 | elapsed=9546s eta=39780s
  [318/1638] t=8 m=50 w=100 | elapsed=9576s eta=39749s
  [319/1638] t=8 m=60 w=100 | elapsed=9607s eta=39722s
  [320/1638] t=8 m=70 w=100 | elapsed=9637s eta=39692s
  [321/1638] t=8 m=80 w=100 | elapsed=9667s eta=39661s
  [322/1638] t=8 m=90 w=100 | elapsed=9697s eta=39631s
  [323/1638] t=8 m=100 w=100 | elapsed=9727s eta=39600s
  [324/1638] t=8 m=150 w=100 | elapsed=9757s eta=39570s
  [325/1638] t=8 m=200 w=100 | elapsed=9787s eta=39539s
  [326/1638] t=8 m=250 w=100 | elapsed=9817s eta=39508s
  [327/1638] t=8 m=300 w=100 | elapsed=9847s eta=39478s
  [328/1638] t=8 m=400 w=100 | elapsed=9878s eta=39451s
  [329/1638] t=8 m=500 w=100 | elapsed=9908s eta=39421s
  [330/1638] t=8 m=700 w=100 | elapsed=9938s eta=39390s
  [331/1638] t=8 m=1000 w=100 | elapsed=9968s eta=39360s
  [332/1638] t=8 m=2000 w=100 | elapsed=9998s eta=39329s
  [333/1638] t=8 m=3000 w=100 | elapsed=10028s eta=39298s
  [334/1638] t=8 m=5000 w=100 | elapsed=10058s eta=39268s
  [335/1638] t=8 m=7000 w=100 | elapsed=10088s eta=39237s
  [336/1638] t=8 m=10000 w=100 | elapsed=10118s eta=39207s
  [337/1638] t=8 m=20000 w=100 | elapsed=10148s eta=39176s
  [338/1638] t=8 m=50000 w=100 | elapsed=10179s eta=39150s
  [339/1638] t=16 m=0 w=100 | elapsed=10209s eta=39119s
  [340/1638] t=16 m=10 w=100 | elapsed=10239s eta=39088s
  [341/1638] t=16 m=20 w=100 | elapsed=10269s eta=39058s
  [342/1638] t=16 m=30 w=100 | elapsed=10299s eta=39027s
  [343/1638] t=16 m=40 w=100 | elapsed=10329s eta=38997s
  [344/1638] t=16 m=50 w=100 | elapsed=10359s eta=38966s
  [345/1638] t=16 m=60 w=100 | elapsed=10389s eta=38936s
  [346/1638] t=16 m=70 w=100 | elapsed=10419s eta=38905s
  [347/1638] t=16 m=80 w=100 | elapsed=10450s eta=38878s
  [348/1638] t=16 m=90 w=100 | elapsed=10480s eta=38848s
  [349/1638] t=16 m=100 w=100 | elapsed=10510s eta=38817s
  [350/1638] t=16 m=150 w=100 | elapsed=10540s eta=38787s
  [351/1638] t=16 m=200 w=100 | elapsed=10570s eta=38756s
  [352/1638] t=16 m=250 w=100 | elapsed=10600s eta=38726s
  [353/1638] t=16 m=300 w=100 | elapsed=10630s eta=38695s
  [354/1638] t=16 m=400 w=100 | elapsed=10660s eta=38665s
  [355/1638] t=16 m=500 w=100 | elapsed=10690s eta=38634s
  [356/1638] t=16 m=700 w=100 | elapsed=10721s eta=38607s
  [357/1638] t=16 m=1000 w=100 | elapsed=10751s eta=38577s
  [358/1638] t=16 m=2000 w=100 | elapsed=10781s eta=38546s
  [359/1638] t=16 m=3000 w=100 | elapsed=10811s eta=38516s
  [360/1638] t=16 m=5000 w=100 | elapsed=10841s eta=38485s
