=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: broadwell_xl170) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [2/1638] SKIP t=8 m=10 w=0
  [3/1638] SKIP t=8 m=20 w=0
  [4/1638] SKIP t=8 m=30 w=0
  [5/1638] SKIP t=8 m=40 w=0
  [1076/1638] t=32 m=90 w=1000 | elapsed=32245s eta=16920s
  [1077/1638] t=32 m=100 w=1000 | elapsed=32275s eta=16890s
  [1078/1638] t=32 m=150 w=1000 | elapsed=32305s eta=16860s
  [1079/1638] t=32 m=200 w=1000 | elapsed=32335s eta=16829s
  [1080/1638] t=32 m=250 w=1000 | elapsed=32365s eta=16799s
  [1081/1638] t=32 m=300 w=1000 | elapsed=32396s eta=16770s
  [1082/1638] t=32 m=400 w=1000 | elapsed=32426s eta=16739s
  [1083/1638] t=32 m=500 w=1000 | elapsed=32456s eta=16709s
  [1084/1638] t=32 m=700 w=1000 | elapsed=32486s eta=16679s
  [1085/1638] t=32 m=1000 w=1000 | elapsed=32516s eta=16649s
  [1086/1638] t=32 m=2000 w=1000 | elapsed=32546s eta=16619s
  [1087/1638] t=32 m=3000 w=1000 | elapsed=32576s eta=16589s
  [1088/1638] t=32 m=5000 w=1000 | elapsed=32606s eta=16558s
  [1089/1638] t=32 m=7000 w=1000 | elapsed=32636s eta=16528s
  [1090/1638] t=32 m=10000 w=1000 | elapsed=32667s eta=16499s
  [1091/1638] t=32 m=20000 w=1000 | elapsed=32697s eta=16468s
  [1092/1638] t=32 m=50000 w=1000 | elapsed=32727s eta=16438s
--- w=1000ns, rep=3/3 ---
  [1093/1638] t=8 m=0 w=1000 | elapsed=32757s eta=16408s
  [1094/1638] t=8 m=10 w=1000 | elapsed=32787s eta=16378s
  [1095/1638] t=8 m=20 w=1000 | elapsed=32817s eta=16348s
  [1096/1638] t=8 m=30 w=1000 | elapsed=32847s eta=16318s
  [1097/1638] t=8 m=40 w=1000 | elapsed=32877s eta=16287s
  [1098/1638] t=8 m=50 w=1000 | elapsed=32907s eta=16257s
  [1099/1638] t=8 m=60 w=1000 | elapsed=32938s eta=16228s
  [1100/1638] t=8 m=70 w=1000 | elapsed=32968s eta=16197s
  [1101/1638] t=8 m=80 w=1000 | elapsed=32998s eta=16167s
  [1102/1638] t=8 m=90 w=1000 | elapsed=33028s eta=16137s
  [1103/1638] t=8 m=100 w=1000 | elapsed=33058s eta=16107s
  [1104/1638] t=8 m=150 w=1000 | elapsed=33088s eta=16077s
  [1105/1638] t=8 m=200 w=1000 | elapsed=33118s eta=16047s
  [1106/1638] t=8 m=250 w=1000 | elapsed=33148s eta=16017s
  [1107/1638] t=8 m=300 w=1000 | elapsed=33178s eta=15986s
  [1108/1638] t=8 m=400 w=1000 | elapsed=33208s eta=15956s
  [1109/1638] t=8 m=500 w=1000 | elapsed=33239s eta=15927s
  [1110/1638] t=8 m=700 w=1000 | elapsed=33269s eta=15896s
  [1111/1638] t=8 m=1000 w=1000 | elapsed=33299s eta=15866s
  [1112/1638] t=8 m=2000 w=1000 | elapsed=33329s eta=15836s
  [1113/1638] t=8 m=3000 w=1000 | elapsed=33359s eta=15806s
  [1114/1638] t=8 m=5000 w=1000 | elapsed=33389s eta=15776s
  [1115/1638] t=8 m=7000 w=1000 | elapsed=33419s eta=15746s
  [1116/1638] t=8 m=10000 w=1000 | elapsed=33449s eta=15715s
  [1117/1638] t=8 m=20000 w=1000 | elapsed=33479s eta=15685s
  [1118/1638] t=8 m=50000 w=1000 | elapsed=33510s eta=15656s
  [1119/1638] t=16 m=0 w=1000 | elapsed=33540s eta=15625s
  [1120/1638] t=16 m=10 w=1000 | elapsed=33570s eta=15595s
  [1121/1638] t=16 m=20 w=1000 | elapsed=33600s eta=15565s
  [1122/1638] t=16 m=30 w=1000 | elapsed=33630s eta=15535s
  [1123/1638] t=16 m=40 w=1000 | elapsed=33660s eta=15505s
  [1124/1638] t=16 m=50 w=1000 | elapsed=33690s eta=15475s
  [1125/1638] t=16 m=60 w=1000 | elapsed=33720s eta=15444s
  [1126/1638] t=16 m=70 w=1000 | elapsed=33750s eta=15414s
  [1127/1638] t=16 m=80 w=1000 | elapsed=33781s eta=15385s
  [1128/1638] t=16 m=90 w=1000 | elapsed=33811s eta=15354s
  [1129/1638] t=16 m=100 w=1000 | elapsed=33841s eta=15324s
  [1130/1638] t=16 m=150 w=1000 | elapsed=33871s eta=15294s
  [1131/1638] t=16 m=200 w=1000 | elapsed=33901s eta=15264s
  [1132/1638] t=16 m=250 w=1000 | elapsed=33931s eta=15234s
  [1133/1638] t=16 m=300 w=1000 | elapsed=33961s eta=15204s
  [1134/1638] t=16 m=400 w=1000 | elapsed=33991s eta=15174s
  [1135/1638] t=16 m=500 w=1000 | elapsed=34021s eta=15143s
  [1136/1638] t=16 m=700 w=1000 | elapsed=34051s eta=15113s
  [1137/1638] t=16 m=1000 w=1000 | elapsed=34082s eta=15083s
  [1138/1638] t=16 m=2000 w=1000 | elapsed=34112s eta=15053s
  [1139/1638] t=16 m=3000 w=1000 | elapsed=34142s eta=15023s
  [1140/1638] t=16 m=5000 w=1000 | elapsed=34172s eta=14993s
  [1141/1638] t=16 m=7000 w=1000 | elapsed=34202s eta=14963s
  [1142/1638] t=16 m=10000 w=1000 | elapsed=34232s eta=14933s
  [1143/1638] t=16 m=20000 w=1000 | elapsed=34262s eta=14903s
  [1144/1638] t=16 m=50000 w=1000 | elapsed=34292s eta=14872s
  [1145/1638] t=32 m=0 w=1000 | elapsed=34322s eta=14842s
  [1146/1638] t=32 m=10 w=1000 | elapsed=34353s eta=14813s
  [1147/1638] t=32 m=20 w=1000 | elapsed=34383s eta=14782s
  [1148/1638] t=32 m=30 w=1000 | elapsed=34413s eta=14752s
  [1149/1638] t=32 m=40 w=1000 | elapsed=34443s eta=14722s
  [1150/1638] t=32 m=50 w=1000 | elapsed=34473s eta=14692s
  [1151/1638] t=32 m=60 w=1000 | elapsed=34503s eta=14662s
  [1152/1638] t=32 m=70 w=1000 | elapsed=34533s eta=14632s
  [1153/1638] t=32 m=80 w=1000 | elapsed=34563s eta=14601s
  [1154/1638] t=32 m=90 w=1000 | elapsed=34593s eta=14571s
  [1155/1638] t=32 m=100 w=1000 | elapsed=34624s eta=14542s
  [1156/1638] t=32 m=150 w=1000 | elapsed=34654s eta=14511s
  [1157/1638] t=32 m=200 w=1000 | elapsed=34684s eta=14481s
  [1158/1638] t=32 m=250 w=1000 | elapsed=34714s eta=14451s
  [1159/1638] t=32 m=300 w=1000 | elapsed=34744s eta=14421s
  [1160/1638] t=32 m=400 w=1000 | elapsed=34774s eta=14391s
  [1161/1638] t=32 m=500 w=1000 | elapsed=34804s eta=14361s
  [1162/1638] t=32 m=700 w=1000 | elapsed=34834s eta=14331s
  [1163/1638] t=32 m=1000 w=1000 | elapsed=34864s eta=14300s
  [1164/1638] t=32 m=2000 w=1000 | elapsed=34894s eta=14270s
  [1165/1638] t=32 m=3000 w=1000 | elapsed=34925s eta=14240s
  [1166/1638] t=32 m=5000 w=1000 | elapsed=34955s eta=14210s
  [1167/1638] t=32 m=7000 w=1000 | elapsed=34985s eta=14180s
  [1168/1638] t=32 m=10000 w=1000 | elapsed=35015s eta=14150s
  [1169/1638] t=32 m=20000 w=1000 | elapsed=35045s eta=14120s
  [1170/1638] t=32 m=50000 w=1000 | elapsed=35075s eta=14090s
--- w=2000ns, rep=1/3 ---
  [1171/1638] t=8 m=0 w=2000 | elapsed=35105s eta=14060s
  [1172/1638] t=8 m=10 w=2000 | elapsed=35135s eta=14029s
  [1173/1638] t=8 m=20 w=2000 | elapsed=35165s eta=13999s
  [1174/1638] t=8 m=30 w=2000 | elapsed=35196s eta=13970s
  [1175/1638] t=8 m=40 w=2000 | elapsed=35226s eta=13939s
  [1176/1638] t=8 m=50 w=2000 | elapsed=35256s eta=13909s
  [1177/1638] t=8 m=60 w=2000 | elapsed=35286s eta=13879s
  [1178/1638] t=8 m=70 w=2000 | elapsed=35316s eta=13849s
  [1179/1638] t=8 m=80 w=2000 | elapsed=35346s eta=13819s
  [1180/1638] t=8 m=90 w=2000 | elapsed=35376s eta=13789s
  [1181/1638] t=8 m=100 w=2000 | elapsed=35406s eta=13758s
  [1182/1638] t=8 m=150 w=2000 | elapsed=35436s eta=13728s
  [1183/1638] t=8 m=200 w=2000 | elapsed=35467s eta=13699s
  [1184/1638] t=8 m=250 w=2000 | elapsed=35497s eta=13668s
  [1185/1638] t=8 m=300 w=2000 | elapsed=35527s eta=13638s
  [1186/1638] t=8 m=400 w=2000 | elapsed=35557s eta=13608s
  [1187/1638] t=8 m=500 w=2000 | elapsed=35587s eta=13578s
  [1188/1638] t=8 m=700 w=2000 | elapsed=35617s eta=13548s
  [1189/1638] t=8 m=1000 w=2000 | elapsed=35647s eta=13518s
  [1190/1638] t=8 m=2000 w=2000 | elapsed=35677s eta=13488s
  [1191/1638] t=8 m=3000 w=2000 | elapsed=35707s eta=13457s
  [1192/1638] t=8 m=5000 w=2000 | elapsed=35737s eta=13427s
  [1193/1638] t=8 m=7000 w=2000 | elapsed=35768s eta=13397s
  [1194/1638] t=8 m=10000 w=2000 | elapsed=35798s eta=13367s
  [1195/1638] t=8 m=20000 w=2000 | elapsed=35828s eta=13337s
  [1196/1638] t=8 m=50000 w=2000 | elapsed=35858s eta=13307s
  [1197/1638] t=16 m=0 w=2000 | elapsed=35888s eta=13277s
  [1198/1638] t=16 m=10 w=2000 | elapsed=35918s eta=13247s
  [1199/1638] t=16 m=20 w=2000 | elapsed=35948s eta=13217s
  [1200/1638] t=16 m=30 w=2000 | elapsed=35978s eta=13186s
  [1201/1638] t=16 m=40 w=2000 | elapsed=36008s eta=13156s
  [1202/1638] t=16 m=50 w=2000 | elapsed=36039s eta=13126s
  [1203/1638] t=16 m=60 w=2000 | elapsed=36069s eta=13096s
  [1204/1638] t=16 m=70 w=2000 | elapsed=36099s eta=13066s
  [1205/1638] t=16 m=80 w=2000 | elapsed=36129s eta=13036s
  [1206/1638] t=16 m=90 w=2000 | elapsed=36159s eta=13006s
  [1207/1638] t=16 m=100 w=2000 | elapsed=36189s eta=12976s
  [1208/1638] t=16 m=150 w=2000 | elapsed=36219s eta=12946s
  [1209/1638] t=16 m=200 w=2000 | elapsed=36249s eta=12915s
  [1210/1638] t=16 m=250 w=2000 | elapsed=36279s eta=12885s
  [1211/1638] t=16 m=300 w=2000 | elapsed=36310s eta=12856s
  [1212/1638] t=16 m=400 w=2000 | elapsed=36340s eta=12825s
  [1213/1638] t=16 m=500 w=2000 | elapsed=36370s eta=12795s
  [1214/1638] t=16 m=700 w=2000 | elapsed=36400s eta=12765s
  [1215/1638] t=16 m=1000 w=2000 | elapsed=36430s eta=12735s
  [1216/1638] t=16 m=2000 w=2000 | elapsed=36460s eta=12705s
  [1217/1638] t=16 m=3000 w=2000 | elapsed=36490s eta=12675s
  [1218/1638] t=16 m=5000 w=2000 | elapsed=36520s eta=12645s
  [1219/1638] t=16 m=7000 w=2000 | elapsed=36550s eta=12614s
  [1220/1638] t=16 m=10000 w=2000 | elapsed=36580s eta=12584s
  [1221/1638] t=16 m=20000 w=2000 | elapsed=36611s eta=12554s
  [1222/1638] t=16 m=50000 w=2000 | elapsed=36641s eta=12524s
  [1223/1638] t=32 m=0 w=2000 | elapsed=36671s eta=12494s
  [1224/1638] t=32 m=10 w=2000 | elapsed=36701s eta=12464s
  [1225/1638] t=32 m=20 w=2000 | elapsed=36731s eta=12434s
  [1226/1638] t=32 m=30 w=2000 | elapsed=36761s eta=12404s
  [1227/1638] t=32 m=40 w=2000 | elapsed=36791s eta=12374s
  [1228/1638] t=32 m=50 w=2000 | elapsed=36821s eta=12343s
  [1229/1638] t=32 m=60 w=2000 | elapsed=36851s eta=12313s
  [1230/1638] t=32 m=70 w=2000 | elapsed=36882s eta=12283s
  [1231/1638] t=32 m=80 w=2000 | elapsed=36912s eta=12253s
  [1232/1638] t=32 m=90 w=2000 | elapsed=36942s eta=12223s
  [1233/1638] t=32 m=100 w=2000 | elapsed=36972s eta=12193s
  [1234/1638] t=32 m=150 w=2000 | elapsed=37002s eta=12163s
  [1235/1638] t=32 m=200 w=2000 | elapsed=37032s eta=12133s
  [1236/1638] t=32 m=250 w=2000 | elapsed=37062s eta=12103s
  [1237/1638] t=32 m=300 w=2000 | elapsed=37092s eta=12072s
  [1238/1638] t=32 m=400 w=2000 | elapsed=37122s eta=12042s
  [1239/1638] t=32 m=500 w=2000 | elapsed=37153s eta=12013s
  [1240/1638] t=32 m=700 w=2000 | elapsed=37183s eta=11982s
  [1241/1638] t=32 m=1000 w=2000 | elapsed=37213s eta=11952s
  [1242/1638] t=32 m=2000 w=2000 | elapsed=37243s eta=11922s
  [1243/1638] t=32 m=3000 w=2000 | elapsed=37273s eta=11892s
  [1244/1638] t=32 m=5000 w=2000 | elapsed=37303s eta=11862s
  [1245/1638] t=32 m=7000 w=2000 | elapsed=37333s eta=11832s
  [1246/1638] t=32 m=10000 w=2000 | elapsed=37363s eta=11802s
  [1247/1638] t=32 m=20000 w=2000 | elapsed=37393s eta=11771s
  [1248/1638] t=32 m=50000 w=2000 | elapsed=37424s eta=11742s
--- w=2000ns, rep=2/3 ---
  [1249/1638] t=8 m=0 w=2000 | elapsed=37454s eta=11711s
  [1250/1638] t=8 m=10 w=2000 | elapsed=37484s eta=11681s
  [1251/1638] t=8 m=20 w=2000 | elapsed=37514s eta=11651s
  [1252/1638] t=8 m=30 w=2000 | elapsed=37544s eta=11621s
  [1253/1638] t=8 m=40 w=2000 | elapsed=37574s eta=11591s
  [1254/1638] t=8 m=50 w=2000 | elapsed=37604s eta=11561s
  [1255/1638] t=8 m=60 w=2000 | elapsed=37634s eta=11531s
  [1256/1638] t=8 m=70 w=2000 | elapsed=37664s eta=11500s
  [1257/1638] t=8 m=80 w=2000 | elapsed=37694s eta=11470s
  [1258/1638] t=8 m=90 w=2000 | elapsed=37725s eta=11440s
  [1259/1638] t=8 m=100 w=2000 | elapsed=37755s eta=11410s
  [1260/1638] t=8 m=150 w=2000 | elapsed=37785s eta=11380s
  [1261/1638] t=8 m=200 w=2000 | elapsed=37815s eta=11350s
  [1262/1638] t=8 m=250 w=2000 | elapsed=37845s eta=11320s
  [1263/1638] t=8 m=300 w=2000 | elapsed=37875s eta=11290s
  [1264/1638] t=8 m=400 w=2000 | elapsed=37905s eta=11260s
  [1265/1638] t=8 m=500 w=2000 | elapsed=37935s eta=11229s
  [1266/1638] t=8 m=700 w=2000 | elapsed=37965s eta=11199s
  [1267/1638] t=8 m=1000 w=2000 | elapsed=37996s eta=11169s
  [1268/1638] t=8 m=2000 w=2000 | elapsed=38026s eta=11139s
  [1269/1638] t=8 m=3000 w=2000 | elapsed=38056s eta=11109s
  [1270/1638] t=8 m=5000 w=2000 | elapsed=38086s eta=11079s
  [1271/1638] t=8 m=7000 w=2000 | elapsed=38116s eta=11049s
  [1272/1638] t=8 m=10000 w=2000 | elapsed=38146s eta=11019s
  [1273/1638] t=8 m=20000 w=2000 | elapsed=38176s eta=10989s
  [1274/1638] t=8 m=50000 w=2000 | elapsed=38206s eta=10959s
  [1275/1638] t=16 m=0 w=2000 | elapsed=38236s eta=10928s
  [1276/1638] t=16 m=10 w=2000 | elapsed=38266s eta=10898s
  [1277/1638] t=16 m=20 w=2000 | elapsed=38297s eta=10868s
  [1278/1638] t=16 m=30 w=2000 | elapsed=38327s eta=10838s
  [1279/1638] t=16 m=40 w=2000 | elapsed=38357s eta=10808s
  [1280/1638] t=16 m=50 w=2000 | elapsed=38387s eta=10778s
  [1281/1638] t=16 m=60 w=2000 | elapsed=38417s eta=10748s
  [1282/1638] t=16 m=70 w=2000 | elapsed=38447s eta=10718s
  [1283/1638] t=16 m=80 w=2000 | elapsed=38477s eta=10688s
  [1284/1638] t=16 m=90 w=2000 | elapsed=38507s eta=10657s
  [1285/1638] t=16 m=100 w=2000 | elapsed=38537s eta=10627s
  [1286/1638] t=16 m=150 w=2000 | elapsed=38568s eta=10597s
  [1287/1638] t=16 m=200 w=2000 | elapsed=38598s eta=10567s
  [1288/1638] t=16 m=250 w=2000 | elapsed=38628s eta=10537s
  [1289/1638] t=16 m=300 w=2000 | elapsed=38658s eta=10507s
  [1290/1638] t=16 m=400 w=2000 | elapsed=38688s eta=10477s
  [1291/1638] t=16 m=500 w=2000 | elapsed=38718s eta=10447s
  [1292/1638] t=16 m=700 w=2000 | elapsed=38748s eta=10417s
  [1293/1638] t=16 m=1000 w=2000 | elapsed=38778s eta=10386s
  [1294/1638] t=16 m=2000 w=2000 | elapsed=38808s eta=10356s
  [1295/1638] t=16 m=3000 w=2000 | elapsed=38839s eta=10326s
  [1296/1638] t=16 m=5000 w=2000 | elapsed=38869s eta=10296s
  [1297/1638] t=16 m=7000 w=2000 | elapsed=38899s eta=10266s
  [1298/1638] t=16 m=10000 w=2000 | elapsed=38929s eta=10236s
  [1299/1638] t=16 m=20000 w=2000 | elapsed=38959s eta=10206s
  [1300/1638] t=16 m=50000 w=2000 | elapsed=38989s eta=10176s
  [1301/1638] t=32 m=0 w=2000 | elapsed=39019s eta=10146s
  [1302/1638] t=32 m=10 w=2000 | elapsed=39049s eta=10116s
  [1303/1638] t=32 m=20 w=2000 | elapsed=39079s eta=10085s
  [1304/1638] t=32 m=30 w=2000 | elapsed=39109s eta=10055s
  [1305/1638] t=32 m=40 w=2000 | elapsed=39140s eta=10025s
  [1306/1638] t=32 m=50 w=2000 | elapsed=39170s eta=9995s
  [1307/1638] t=32 m=60 w=2000 | elapsed=39200s eta=9965s
  [1308/1638] t=32 m=70 w=2000 | elapsed=39230s eta=9935s
  [1309/1638] t=32 m=80 w=2000 | elapsed=39260s eta=9905s
  [1310/1638] t=32 m=90 w=2000 | elapsed=39290s eta=9875s
  [1311/1638] t=32 m=100 w=2000 | elapsed=39320s eta=9845s
  [1312/1638] t=32 m=150 w=2000 | elapsed=39350s eta=9814s
  [1313/1638] t=32 m=200 w=2000 | elapsed=39380s eta=9784s
  [1314/1638] t=32 m=250 w=2000 | elapsed=39411s eta=9754s
  [1315/1638] t=32 m=300 w=2000 | elapsed=39441s eta=9724s
  [1316/1638] t=32 m=400 w=2000 | elapsed=39471s eta=9694s
  [1317/1638] t=32 m=500 w=2000 | elapsed=39501s eta=9664s
  [1318/1638] t=32 m=700 w=2000 | elapsed=39531s eta=9634s
  [1319/1638] t=32 m=1000 w=2000 | elapsed=39561s eta=9604s
  [1320/1638] t=32 m=2000 w=2000 | elapsed=39591s eta=9574s
  [1321/1638] t=32 m=3000 w=2000 | elapsed=39621s eta=9543s
  [1322/1638] t=32 m=5000 w=2000 | elapsed=39651s eta=9513s
  [1323/1638] t=32 m=7000 w=2000 | elapsed=39682s eta=9483s
  [1324/1638] t=32 m=10000 w=2000 | elapsed=39712s eta=9453s
  [1325/1638] t=32 m=20000 w=2000 | elapsed=39742s eta=9423s
  [1326/1638] t=32 m=50000 w=2000 | elapsed=39772s eta=9393s
--- w=2000ns, rep=3/3 ---
  [1327/1638] t=8 m=0 w=2000 | elapsed=39802s eta=9363s
  [1328/1638] t=8 m=10 w=2000 | elapsed=39832s eta=9333s
  [1329/1638] t=8 m=20 w=2000 | elapsed=39862s eta=9303s
  [1330/1638] t=8 m=30 w=2000 | elapsed=39892s eta=9273s
  [1331/1638] t=8 m=40 w=2000 | elapsed=39922s eta=9242s
  [1332/1638] t=8 m=50 w=2000 | elapsed=39953s eta=9212s
  [1333/1638] t=8 m=60 w=2000 | elapsed=39983s eta=9182s
  [1334/1638] t=8 m=70 w=2000 | elapsed=40013s eta=9152s
  [1335/1638] t=8 m=80 w=2000 | elapsed=40043s eta=9122s
  [1336/1638] t=8 m=90 w=2000 | elapsed=40073s eta=9092s
  [1337/1638] t=8 m=100 w=2000 | elapsed=40103s eta=9062s
  [1338/1638] t=8 m=150 w=2000 | elapsed=40133s eta=9032s
  [1339/1638] t=8 m=200 w=2000 | elapsed=40163s eta=9002s
  [1340/1638] t=8 m=250 w=2000 | elapsed=40193s eta=8971s
  [1341/1638] t=8 m=300 w=2000 | elapsed=40223s eta=8941s
  [1342/1638] t=8 m=400 w=2000 | elapsed=40254s eta=8911s
  [1343/1638] t=8 m=500 w=2000 | elapsed=40284s eta=8881s
  [1344/1638] t=8 m=700 w=2000 | elapsed=40314s eta=8851s
  [1345/1638] t=8 m=1000 w=2000 | elapsed=40344s eta=8821s
  [1346/1638] t=8 m=2000 w=2000 | elapsed=40374s eta=8791s
  [1347/1638] t=8 m=3000 w=2000 | elapsed=40404s eta=8761s
  [1348/1638] t=8 m=5000 w=2000 | elapsed=40434s eta=8731s
  [1349/1638] t=8 m=7000 w=2000 | elapsed=40464s eta=8700s
  [1350/1638] t=8 m=10000 w=2000 | elapsed=40494s eta=8670s
  [1351/1638] t=8 m=20000 w=2000 | elapsed=40525s eta=8640s
  [1352/1638] t=8 m=50000 w=2000 | elapsed=40555s eta=8610s
  [1353/1638] t=16 m=0 w=2000 | elapsed=40585s eta=8580s
  [1354/1638] t=16 m=10 w=2000 | elapsed=40615s eta=8550s
  [1355/1638] t=16 m=20 w=2000 | elapsed=40645s eta=8520s
  [1356/1638] t=16 m=30 w=2000 | elapsed=40675s eta=8490s
  [1357/1638] t=16 m=40 w=2000 | elapsed=40705s eta=8460s
  [1358/1638] t=16 m=50 w=2000 | elapsed=40735s eta=8430s
  [1359/1638] t=16 m=60 w=2000 | elapsed=40765s eta=8399s
  [1360/1638] t=16 m=70 w=2000 | elapsed=40796s eta=8369s
  [1361/1638] t=16 m=80 w=2000 | elapsed=40826s eta=8339s
  [1362/1638] t=16 m=90 w=2000 | elapsed=40856s eta=8309s
  [1363/1638] t=16 m=100 w=2000 | elapsed=40886s eta=8279s
  [1364/1638] t=16 m=150 w=2000 | elapsed=40916s eta=8249s
  [1365/1638] t=16 m=200 w=2000 | elapsed=40946s eta=8219s
  [1366/1638] t=16 m=250 w=2000 | elapsed=40976s eta=8189s
  [1367/1638] t=16 m=300 w=2000 | elapsed=41006s eta=8159s
  [1368/1638] t=16 m=400 w=2000 | elapsed=41036s eta=8128s
  [1369/1638] t=16 m=500 w=2000 | elapsed=41066s eta=8098s
  [1370/1638] t=16 m=700 w=2000 | elapsed=41097s eta=8068s
  [1371/1638] t=16 m=1000 w=2000 | elapsed=41127s eta=8038s
  [1372/1638] t=16 m=2000 w=2000 | elapsed=41157s eta=8008s
  [1373/1638] t=16 m=3000 w=2000 | elapsed=41187s eta=7978s
  [1374/1638] t=16 m=5000 w=2000 | elapsed=41217s eta=7948s
  [1375/1638] t=16 m=7000 w=2000 | elapsed=41247s eta=7918s
  [1376/1638] t=16 m=10000 w=2000 | elapsed=41277s eta=7888s
  [1377/1638] t=16 m=20000 w=2000 | elapsed=41307s eta=7857s
  [1378/1638] t=16 m=50000 w=2000 | elapsed=41337s eta=7827s
  [1379/1638] t=32 m=0 w=2000 | elapsed=41368s eta=7797s
  [1380/1638] t=32 m=10 w=2000 | elapsed=41398s eta=7767s
  [1381/1638] t=32 m=20 w=2000 | elapsed=41428s eta=7737s
  [1382/1638] t=32 m=30 w=2000 | elapsed=41458s eta=7707s
  [1383/1638] t=32 m=40 w=2000 | elapsed=41488s eta=7677s
  [1384/1638] t=32 m=50 w=2000 | elapsed=41518s eta=7647s
  [1385/1638] t=32 m=60 w=2000 | elapsed=41548s eta=7617s
  [1386/1638] t=32 m=70 w=2000 | elapsed=41578s eta=7587s
  [1387/1638] t=32 m=80 w=2000 | elapsed=41608s eta=7556s
  [1388/1638] t=32 m=90 w=2000 | elapsed=41639s eta=7526s
  [1389/1638] t=32 m=100 w=2000 | elapsed=41669s eta=7496s
  [1390/1638] t=32 m=150 w=2000 | elapsed=41699s eta=7466s
  [1391/1638] t=32 m=200 w=2000 | elapsed=41729s eta=7436s
  [1392/1638] t=32 m=250 w=2000 | elapsed=41759s eta=7406s
  [1393/1638] t=32 m=300 w=2000 | elapsed=41789s eta=7376s
  [1394/1638] t=32 m=400 w=2000 | elapsed=41819s eta=7346s
  [1395/1638] t=32 m=500 w=2000 | elapsed=41849s eta=7316s
  [1396/1638] t=32 m=700 w=2000 | elapsed=41879s eta=7285s
  [1397/1638] t=32 m=1000 w=2000 | elapsed=41909s eta=7255s
  [1398/1638] t=32 m=2000 w=2000 | elapsed=41940s eta=7225s
  [1399/1638] t=32 m=3000 w=2000 | elapsed=41970s eta=7195s
  [1400/1638] t=32 m=5000 w=2000 | elapsed=42000s eta=7165s
  [1401/1638] t=32 m=7000 w=2000 | elapsed=42030s eta=7135s
  [1402/1638] t=32 m=10000 w=2000 | elapsed=42060s eta=7105s
  [1403/1638] t=32 m=20000 w=2000 | elapsed=42090s eta=7075s
  [1404/1638] t=32 m=50000 w=2000 | elapsed=42120s eta=7045s
--- w=5000ns, rep=1/3 ---
  [1405/1638] t=8 m=0 w=5000 | elapsed=42150s eta=7014s
  [1406/1638] t=8 m=10 w=5000 | elapsed=42180s eta=6984s
  [1407/1638] t=8 m=20 w=5000 | elapsed=42211s eta=6954s
  [1408/1638] t=8 m=30 w=5000 | elapsed=42241s eta=6924s
  [1409/1638] t=8 m=40 w=5000 | elapsed=42271s eta=6894s
  [1410/1638] t=8 m=50 w=5000 | elapsed=42301s eta=6864s
  [1411/1638] t=8 m=60 w=5000 | elapsed=42331s eta=6834s
  [1412/1638] t=8 m=70 w=5000 | elapsed=42361s eta=6804s
  [1413/1638] t=8 m=80 w=5000 | elapsed=42391s eta=6774s
  [1414/1638] t=8 m=90 w=5000 | elapsed=42421s eta=6744s
  [1415/1638] t=8 m=100 w=5000 | elapsed=42451s eta=6713s
  [1416/1638] t=8 m=150 w=5000 | elapsed=42482s eta=6683s
  [1417/1638] t=8 m=200 w=5000 | elapsed=42512s eta=6653s
  [1418/1638] t=8 m=250 w=5000 | elapsed=42542s eta=6623s
  [1419/1638] t=8 m=300 w=5000 | elapsed=42572s eta=6593s
  [1420/1638] t=8 m=400 w=5000 | elapsed=42602s eta=6563s
  [1421/1638] t=8 m=500 w=5000 | elapsed=42632s eta=6533s
  [1422/1638] t=8 m=700 w=5000 | elapsed=42662s eta=6503s
  [1423/1638] t=8 m=1000 w=5000 | elapsed=42692s eta=6473s
  [1424/1638] t=8 m=2000 w=5000 | elapsed=42722s eta=6442s
  [1425/1638] t=8 m=3000 w=5000 | elapsed=42752s eta=6412s
  [1426/1638] t=8 m=5000 w=5000 | elapsed=42783s eta=6382s
  [1427/1638] t=8 m=7000 w=5000 | elapsed=42813s eta=6352s
  [1428/1638] t=8 m=10000 w=5000 | elapsed=42843s eta=6322s
  [1429/1638] t=8 m=20000 w=5000 | elapsed=42873s eta=6292s
  [1430/1638] t=8 m=50000 w=5000 | elapsed=42903s eta=6262s
  [1431/1638] t=16 m=0 w=5000 | elapsed=42933s eta=6232s
  [1432/1638] t=16 m=10 w=5000 | elapsed=42963s eta=6202s
  [1433/1638] t=16 m=20 w=5000 | elapsed=42993s eta=6171s
