=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: broadwell_xl170) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [2/1638] SKIP t=8 m=10 w=0
  [3/1638] SKIP t=8 m=20 w=0
  [4/1638] SKIP t=8 m=30 w=0
  [5/1638] SKIP t=8 m=40 w=0
  [211/1638] t=32 m=20 w=0 | elapsed=6202s eta=42962s
  [212/1638] t=32 m=30 w=0 | elapsed=6232s eta=42931s
  [213/1638] t=32 m=40 w=0 | elapsed=6262s eta=42900s
  [214/1638] t=32 m=50 w=0 | elapsed=6292s eta=42869s
  [215/1638] t=32 m=60 w=0 | elapsed=6323s eta=42845s
  [216/1638] t=32 m=70 w=0 | elapsed=6353s eta=42815s
  [217/1638] t=32 m=80 w=0 | elapsed=6383s eta=42784s
  [218/1638] t=32 m=90 w=0 | elapsed=6413s eta=42753s
  [219/1638] t=32 m=100 w=0 | elapsed=6443s eta=42722s
  [220/1638] t=32 m=150 w=0 | elapsed=6473s eta=42691s
  [221/1638] t=32 m=200 w=0 | elapsed=6503s eta=42660s
  [222/1638] t=32 m=250 w=0 | elapsed=6533s eta=42630s
  [223/1638] t=32 m=300 w=0 | elapsed=6563s eta=42599s
  [224/1638] t=32 m=400 w=0 | elapsed=6593s eta=42568s
  [225/1638] t=32 m=500 w=0 | elapsed=6624s eta=42544s
  [226/1638] t=32 m=700 w=0 | elapsed=6654s eta=42513s
  [227/1638] t=32 m=1000 w=0 | elapsed=6684s eta=42482s
  [228/1638] t=32 m=2000 w=0 | elapsed=6714s eta=42451s
  [229/1638] t=32 m=3000 w=0 | elapsed=6744s eta=42420s
  [230/1638] t=32 m=5000 w=0 | elapsed=6774s eta=42390s
  [231/1638] t=32 m=7000 w=0 | elapsed=6804s eta=42359s
  [232/1638] t=32 m=10000 w=0 | elapsed=6834s eta=42328s
  [233/1638] t=32 m=20000 w=0 | elapsed=6865s eta=42304s
  [234/1638] t=32 m=50000 w=0 | elapsed=6895s eta=42273s
--- w=100ns, rep=1/3 ---
  [235/1638] t=8 m=0 w=100 | elapsed=6925s eta=42242s
  [236/1638] t=8 m=10 w=100 | elapsed=6955s eta=42211s
  [237/1638] t=8 m=20 w=100 | elapsed=6985s eta=42180s
  [238/1638] t=8 m=30 w=100 | elapsed=7015s eta=42150s
  [239/1638] t=8 m=40 w=100 | elapsed=7045s eta=42119s
  [240/1638] t=8 m=50 w=100 | elapsed=7075s eta=42088s
  [241/1638] t=8 m=60 w=100 | elapsed=7105s eta=42057s
  [242/1638] t=8 m=70 w=100 | elapsed=7135s eta=42027s
  [243/1638] t=8 m=80 w=100 | elapsed=7166s eta=42002s
  [244/1638] t=8 m=90 w=100 | elapsed=7196s eta=41971s
  [245/1638] t=8 m=100 w=100 | elapsed=7226s eta=41940s
  [246/1638] t=8 m=150 w=100 | elapsed=7256s eta=41910s
  [247/1638] t=8 m=200 w=100 | elapsed=7286s eta=41879s
  [248/1638] t=8 m=250 w=100 | elapsed=7316s eta=41848s
  [249/1638] t=8 m=300 w=100 | elapsed=7346s eta=41818s
  [250/1638] t=8 m=400 w=100 | elapsed=7376s eta=41787s
  [251/1638] t=8 m=500 w=100 | elapsed=7406s eta=41756s
  [252/1638] t=8 m=700 w=100 | elapsed=7437s eta=41731s
  [253/1638] t=8 m=1000 w=100 | elapsed=7467s eta=41700s
  [254/1638] t=8 m=2000 w=100 | elapsed=7497s eta=41670s
  [255/1638] t=8 m=3000 w=100 | elapsed=7527s eta=41639s
  [256/1638] t=8 m=5000 w=100 | elapsed=7557s eta=41608s
  [257/1638] t=8 m=7000 w=100 | elapsed=7587s eta=41577s
  [258/1638] t=8 m=10000 w=100 | elapsed=7617s eta=41547s
  [259/1638] t=8 m=20000 w=100 | elapsed=7647s eta=41516s
  [260/1638] t=8 m=50000 w=100 | elapsed=7677s eta=41485s
  [261/1638] t=16 m=0 w=100 | elapsed=7708s eta=41460s
  [262/1638] t=16 m=10 w=100 | elapsed=7738s eta=41429s
  [263/1638] t=16 m=20 w=100 | elapsed=7768s eta=41399s
  [264/1638] t=16 m=30 w=100 | elapsed=7798s eta=41368s
  [265/1638] t=16 m=40 w=100 | elapsed=7828s eta=41337s
  [266/1638] t=16 m=50 w=100 | elapsed=7858s eta=41307s
  [267/1638] t=16 m=60 w=100 | elapsed=7888s eta=41276s
  [268/1638] t=16 m=70 w=100 | elapsed=7918s eta=41245s
  [269/1638] t=16 m=80 w=100 | elapsed=7948s eta=41215s
  [270/1638] t=16 m=90 w=100 | elapsed=7978s eta=41184s
  [271/1638] t=16 m=100 w=100 | elapsed=8009s eta=41159s
  [272/1638] t=16 m=150 w=100 | elapsed=8039s eta=41128s
  [273/1638] t=16 m=200 w=100 | elapsed=8069s eta=41097s
  [274/1638] t=16 m=250 w=100 | elapsed=8099s eta=41067s
  [275/1638] t=16 m=300 w=100 | elapsed=8129s eta=41036s
  [276/1638] t=16 m=400 w=100 | elapsed=8159s eta=41005s
  [277/1638] t=16 m=500 w=100 | elapsed=8189s eta=40975s
  [278/1638] t=16 m=700 w=100 | elapsed=8219s eta=40944s
  [279/1638] t=16 m=1000 w=100 | elapsed=8249s eta=40913s
  [280/1638] t=16 m=2000 w=100 | elapsed=8280s eta=40888s
  [281/1638] t=16 m=3000 w=100 | elapsed=8310s eta=40857s
  [282/1638] t=16 m=5000 w=100 | elapsed=8340s eta=40826s
  [283/1638] t=16 m=7000 w=100 | elapsed=8370s eta=40796s
  [284/1638] t=16 m=10000 w=100 | elapsed=8400s eta=40765s
  [285/1638] t=16 m=20000 w=100 | elapsed=8430s eta=40734s
  [286/1638] t=16 m=50000 w=100 | elapsed=8460s eta=40704s
  [287/1638] t=32 m=0 w=100 | elapsed=8490s eta=40673s
  [288/1638] t=32 m=10 w=100 | elapsed=8520s eta=40643s
  [289/1638] t=32 m=20 w=100 | elapsed=8550s eta=40612s
  [290/1638] t=32 m=30 w=100 | elapsed=8581s eta=40586s
  [291/1638] t=32 m=40 w=100 | elapsed=8611s eta=40556s
  [292/1638] t=32 m=50 w=100 | elapsed=8641s eta=40525s
  [293/1638] t=32 m=60 w=100 | elapsed=8671s eta=40494s
  [294/1638] t=32 m=70 w=100 | elapsed=8701s eta=40464s
  [295/1638] t=32 m=80 w=100 | elapsed=8731s eta=40433s
  [296/1638] t=32 m=90 w=100 | elapsed=8761s eta=40402s
  [297/1638] t=32 m=100 w=100 | elapsed=8791s eta=40372s
  [298/1638] t=32 m=150 w=100 | elapsed=8821s eta=40341s
  [299/1638] t=32 m=200 w=100 | elapsed=8852s eta=40315s
  [300/1638] t=32 m=250 w=100 | elapsed=8882s eta=40285s
  [301/1638] t=32 m=300 w=100 | elapsed=8912s eta=40254s
  [302/1638] t=32 m=400 w=100 | elapsed=8942s eta=40223s
  [303/1638] t=32 m=500 w=100 | elapsed=8972s eta=40193s
  [304/1638] t=32 m=700 w=100 | elapsed=9002s eta=40162s
  [305/1638] t=32 m=1000 w=100 | elapsed=9032s eta=40132s
  [306/1638] t=32 m=2000 w=100 | elapsed=9062s eta=40101s
  [307/1638] t=32 m=3000 w=100 | elapsed=9092s eta=40071s
  [308/1638] t=32 m=5000 w=100 | elapsed=9123s eta=40044s
  [309/1638] t=32 m=7000 w=100 | elapsed=9153s eta=40014s
  [310/1638] t=32 m=10000 w=100 | elapsed=9183s eta=39983s
  [311/1638] t=32 m=20000 w=100 | elapsed=9213s eta=39953s
  [312/1638] t=32 m=50000 w=100 | elapsed=9243s eta=39922s
--- w=100ns, rep=2/3 ---
  [313/1638] t=8 m=0 w=100 | elapsed=9273s eta=39891s
  [314/1638] t=8 m=10 w=100 | elapsed=9303s eta=39861s
  [315/1638] t=8 m=20 w=100 | elapsed=9333s eta=39830s
  [316/1638] t=8 m=30 w=100 | elapsed=9363s eta=39800s
  [317/1638] t=8 m=40 w=100 | elapsed=9394s eta=39773s
  [318/1638] t=8 m=50 w=100 | elapsed=9424s eta=39743s
  [319/1638] t=8 m=60 w=100 | elapsed=9454s eta=39712s
  [320/1638] t=8 m=70 w=100 | elapsed=9484s eta=39682s
  [321/1638] t=8 m=80 w=100 | elapsed=9514s eta=39651s
  [322/1638] t=8 m=90 w=100 | elapsed=9544s eta=39621s
  [323/1638] t=8 m=100 w=100 | elapsed=9574s eta=39590s
